price,location,id,size
NA,"
                            Gartenstraße
                        

            38114 Braunschweig Ölper
",9712767,NA
NA,NA,9712768,NA
550,"
                            Caspar-Voght-Straße
                        

            20535 Hamburg Hamm-Nord
",9712769,18
NA,NA,9712770,NA
NA,NA,9712771,NA
390,"
                            Ludwigstraße 20
                        

            04315 Leipzig Neustadt-Neuschönefeld
",9712772,23
NA,NA,9712773,NA
NA,"
                            Langgasse
                        

            50585 Köln Junkersdorf
",9712774,NA
600,NA,9712775,15
NA,NA,9712776,NA
405,"
                            Bismarckstr 20
                        

            59065 Hamm Mitte
",9712777,20
NA,NA,9712778,NA
380,"
                            Jakobstrasse 6
                        

            95447 Bayreuth Altstadt
",9712779,30
NA,NA,9712780,NA
750,"
                            Vogelsanger Str. 51
                        

            50823 Köln Ehrenfeld
",9712781,25
NA,NA,9712782,NA
NA,NA,9712783,NA
NA,NA,9712784,NA
1800,NA,9712785,30
400,"
                            Industriestraße 9
                        

            76829 Landau in der Pfalz Innenstadt
",9712786,16
500,NA,9712787,NA
300,NA,9712788,NA
NA,NA,9712789,NA
NA,NA,9712790,NA
305,"
                            Bongardstraße 00
                        

            44787 Bochum Bochum
",9712791,12
NA,NA,9712792,NA
500,"
                            Landhasustraße 46
                        

            70190 Stuttgart Mitte
",9712793,11
NA,NA,9712794,NA
1260,"
                            Köpenicker Straße & Adalbertstraße
                        

            10179 Berlin Mitte
",9712795,55
575,"
                            Franz coennen str. 2
                        

            51429 Bergisch Gladbach Moitzfeld
",9712796,45
495,"
                            Karl-Liebknecht-Straße 72
                        

            04275 Leipzig Südvorstadt
",9712797,28
340,"
                            Tattenbachstraße 20
                        

            86179 Augsburg Augsburg
",9712798,11
800,"
                            Geblergasse 72
                        

            1170 Wien Hernals
",9712799,19
1900,"
                            Winsstraße 12
                        

            10405 Berlin Berlin
",9712800,94
800,"
                            Gref-Völsing-Straße 15
                        

            60314 Frankfurt am Main Fechenheim
",9712801,10
NA,NA,9712802,NA
NA,NA,9712803,NA
600,NA,9712804,10
NA,"
                            Melanchthonstraße
                        

            72074 Tübingen Innenstadt
",9712805,NA
NA,NA,9712806,NA
NA,"
                            Boxhagener Straße
                        

            10245 Berlin Friedrichshain
",9712807,NA
900,"
                            Rochstraße
                        

            10178 Berlin Mitte
",9712808,15
460,"
                            Hördtstr.63a
                        

            70435 Stuttgart Zuffenhausen
",9712809,17
880,"
                            Freiligrathstraße 54
                        

            60385 Frankfurt am Main Bornheim
",9712810,18
880,"
                            Freiligrathstraße 54
                        

            60385 Frankfurt am Main Bornheim
",9712810,18
NA,NA,9712811,NA
NA,NA,9712812,NA
1000,NA,9712813,50
485,"
                            Okrifteler Str 47
                        

            65931 Frankfurt am Main Sindlingen
",9712814,16
NA,NA,9712815,NA
NA,NA,9712816,NA
NA,NA,9712817,NA
380,NA,9712818,20
945,"
                            Heiligkreuzgasse 13
                        

            60313 Frankfurt am Main Altstadt
",9712819,18
350,NA,9712820,NA
800,"
                            39
                        

            10245 Berlin Friedrichshain
",9712821,55
NA,"
                            Rosestraße
                        

            95448 Bayreuth Hammerstatt
",9712822,NA
NA,NA,9712823,NA
2500,NA,9712824,70
NA,NA,9712825,NA
NA,NA,9712826,NA
NA,NA,9712827,NA
795,"
                            Bloherfelderstr. 80
                        

            26129 Oldenburg Bloherfelde
",9712828,56
440,"
                            Mariahilfsstraße 35
                        

            52062 Aachen Aachen
",9712829,21
NA,NA,9712830,NA
500,NA,9712831,15
400,NA,9712832,NA
NA,NA,9712833,NA
255,"
                            Lülingsberg 7
                        

            33100 Paderborn Dahl
",9712834,22
579,"
                            Schellerdamm 1
                        

            21079 Hamburg Harburg
",9712835,16
450,"
                            Schulstraße 19
                        

            71729 Erdmannhausen Erdmannhausen
",9712836,30
484,"
                            Engelbosteler Damm
                        

            30167 Hannover 
",9712837,16
NA,NA,9712838,NA
NA,"
                            Winterstraße
                        

            28215 Bremen Bremen
",9712839,NA
400,"
                            Arniakstrasse51
                        

            73733 Esslingen am Neckar Sulzgries
",9712840,146
800,NA,9712841,15
NA,NA,9712842,NA
NA,NA,9712843,NA
1800,NA,9712844,70
NA,NA,9712845,NA
480,"
                            Carl-Orff-Bogen
                        

            80939 München 
",9712846,16
